player_name,real_name,nationality,team,player_status,link,link2,link3,link3,link4
akeu,Daniel Vesely,Czech Republic,DeToNator,Retired,{"twitch_link":"https://www.twitch.tv/akeu7"\,twitter_link:"https://twitter.com/akeuxd"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/13829300"}
Akim4XD,Muhammad Amirul Hakim,Malaysia,DeToNator,Active,{"twitch_link":"https://www.twitch.tv/akim4xd"\,twitter_link:"https://twitter.com/Akim4XD"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Aladdin,Grant LaBelle,United States,DeToNator,Retired,{"twitch_link":"https://www.twitch.tv/aladdin"\,twitter_link:"https://twitter.com/AladdinLTD"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/11818398"}
Albralelie,Mac Kenzie Beckwith,United States,TSM,Active,{"twitch_link":"https://www.twitch.tv/Albralelie"\,twitter_link:"https://twitter.com/TSM_Albralelie"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UC4pkrqOT0hAhS0yQkJ-jKfQ"\,esl_profile_link:"None"}
Aldgia,Jessie Barger,United States,TSM,Retired,{"twitch_link":"https://www.twitch.tv/aldgia"\,twitter_link:"https://twitter.com/AldgiaCoach"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
AlejandroSuntay,Alejandro Suntay,United States,TSM,Retired,{"twitch_link":"https://www.twitch.tv/AlejandroSuntay"\,twitter_link:"https://twitter.com/AlejandroSuntay"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/c/AlejandroSuntay"\,esl_profile_link:"None"}
Alelu,,Japan,DeToNator,Retired,{"twitch_link":"https://www.twitch.tv/alelu"\,twitter_link:"https://twitter.com/apexalelu"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCmzRNMuC3LAGRq2TtDySycg/featured"\,esl_profile_link:"None"}
AlexDoubleU,Alex Wilson,United Kingdom,DeToNator,Retired,{"twitch_link":"https://www.twitch.tv/alexdoubleu"\,twitter_link:"https://twitter.com/AlexDoubleU"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/13340928"}
Alhdar,Marion Pereda,Chile,DeToNator,Active,{"twitch_link":"None"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
alkaliion,,Japan,DeToNator,Retired,{"twitch_link":"None"\,twitter_link:"https://twitter.com/alkaliion_game"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Almaynx,Poovanon Thuvanalin,Thailand,DeToNator,Retired,{"twitch_link":"https://www.twitch.tv/almalynx"\,twitter_link:"None"\,facebook_link:"http://facebook.com/almalynxfp"\,youtube_link:"http://www.youtube.com/c/snowchannal/featured"\,esl_profile_link:"None"}
AlpaN,Sigeru Maki,Japan,Pro Gaming team Selector,Active,{"twitch_link":"https://www.twitch.tv/alpan_games"\,twitter_link:"https://twitter.com/alpan_jp"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCNRBwLHJTfhgNXbfy8UhnpA"\,esl_profile_link:"None"}
AlphaDraft,David Ciura,Poland,Rascals,Active,{"twitch_link":"https://www.twitch.tv/alphadraft_"\,twitter_link:"https://twitter.com/alphawrld666"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
